t_rel_s,d2
0.0480,0
0.0686,0
0.0851,0
0.0954,0
0.1282,0
0.1354,0
0.1555,0
0.1755,0
0.2084,0
0.2282,0
0.2353,0
0.2678,0
0.2851,0
0.3077,0
0.3248,0
0.3322,0
0.3649,0
0.3757,0
0.4059,0
0.4253,0
0.4449,0
0.4564,0
0.4722,0
0.5053,0
0.5158,0
0.5449,0
0.5557,0
0.5854,0
0.5955,0
0.6281,0
0.6356,0
0.6522,0
0.6853,0
0.6921,0
0.7281,0
0.7357,0
0.7650,0
0.7853,0
0.8079,0
0.8254,0
0.8478,0
0.8650,0
0.8757,0
0.9051,0
0.9156,0
0.9450,0
0.9565,0
0.9733,0
1.0052,0
1.0132,0
1.0451,0
1.0531,0
1.0853,0
1.0957,0
1.1282,0
1.1355,0
1.1679,0
1.1854,0
1.1933,0
1.2252,0
1.2332,0
1.2651,0
1.2854,0
1.3059,0
1.3252,0
1.3479,0
1.3564,0
1.3731,0
1.4052,0
1.4157,0
1.4449,0
1.4556,0
1.4853,0
1.5053,0
1.5281,0
1.5356,0
1.5532,0
1.5854,0
1.5931,0
1.6281,0
1.6356,0
1.6649,0
1.6852,0
1.7079,0
1.7252,0
1.7333,0
1.7649,0
1.7756,0
1.8060,0
1.8155,0
1.8449,0
1.8565,0
1.8732,0
1.9051,0
1.9131,0
1.9450,0
1.9556,0
1.9853,0
1.9956,0
2.0283,0
2.0357,0
2.0679,0
2.0853,0
2.0933,0
2.1156,0
2.1450,0
2.1550,0
2.1852,0
2.2053,0
2.2132,0
2.2355,0
2.2531,0
2.2853,0
2.2956,0
2.3281,0
2.3355,0
2.3682,0
2.3855,0
2.4079,0
2.4252,0
2.4332,0
2.4648,0
2.4755,0
2.5059,0
2.5253,0
2.5448,0
2.5564,0
2.5732,0
2.6052,0
2.6131,0
2.6449,0
2.6556,0
2.6854,0
2.6955,0
2.7282,0
2.7356,0
2.7533,0
2.7853,0
2.7932,0
2.8282,0
2.8357,0
2.8649,0
2.8852,0
2.9080,0
2.9251,0
2.9479,0
2.9650,0
2.9756,0
3.0050,0
3.0155,0
3.0449,0
3.0565,0
3.0712,0
3.1051,0
3.1132,0
3.1451,0
3.1531,0
3.1853,0
3.1956,0
3.2281,0
3.2354,0
3.2681,0
3.2854,0
3.2933,0
3.3251,0
3.3332,0
3.3650,0
3.3754,0
3.4059,0
3.4252,0
3.4481,0
3.4564,0
3.4731,0
3.5052,0
3.5156,0
3.5449,0
3.5555,0
3.5853,0
3.6052,0
3.6282,0
3.6355,0
3.6532,0
3.6851,0
3.6931,0
3.7283,0
3.7355,0
3.7648,0
3.7852,0
3.8080,0
3.8252,0
3.8313,0
3.8648,0
3.8755,0
3.9060,0
3.9154,0
3.9448,0
3.9565,0
3.9732,0
4.0050,0
4.0131,0
4.0448,0
4.0555,0
4.0851,0
4.0954,0
4.1250,0
4.1480,0
4.1649,0
4.1751,0
4.2050,0
4.2155,0
4.2449,0
4.2553,0
4.2851,0
4.3050,0
4.3132,0
4.3354,0
4.3531,0
4.3853,0
4.3956,0
4.4282,0
4.4354,0
4.4681,0
4.4853,0
4.5080,0
4.5251,0
4.5333,0
4.5647,0
4.5754,0
4.6060,0
4.6251,0
4.6447,0
4.6564,0
4.6732,0
4.7051,0
4.7131,0
4.7448,0
4.7555,0
4.7852,0
4.7954,0
4.8283,0
4.8354,0
4.8533,0
4.8851,0
4.8932,0
4.9284,0
4.9355,0
4.9648,0
4.9851,0
5.0082,0
5.0249,0
5.0480,0
5.0648,0
5.0755,0
5.1049,0
5.1154,0
5.1448,0
5.1566,0
5.1851,0
5.2050,0
5.2132,0
5.2449,0
5.2531,0
5.2851,0
5.2955,0
5.3282,0
5.3354,0
5.3681,0
5.3852,0
5.3934,0
5.4250,0
5.4332,0
5.4649,0
5.4754,0
5.5059,0
5.5250,0
5.5482,0
5.5564,0
5.5732,0
5.6050,0
5.6155,0
5.6447,0
5.6554,0
5.6851,0
5.7051,0
5.7283,0
5.7353,0
5.7532,0
5.7850,0
5.7932,0
5.8284,0
5.8355,0
5.8647,0
5.8850,0
5.9081,0
5.9251,0
5.9480,0
5.9647,0
5.9755,0
6.0060,0
6.0153,0
6.0447,0
6.0565,0
6.0733,0
6.0964,0
6.1249,0
6.1332,0
6.1648,0
6.1852,0
6.2058,0
6.2249,0
6.2481,0
6.2648,0
6.2736,0
6.3049,0
6.3153,0
6.3448,0
6.3552,0
6.3850,0
6.4050,0
6.4133,0
6.4353,0
6.4532,0
6.4851,0
6.4959,0
6.5284,0
6.5353,0
6.5682,0
6.5849,0
6.6083,0
6.6250,0
6.6332,0
6.6646,0
6.6753,0
6.7060,0
6.7250,0
6.7446,0
6.7565,0
6.7732,0
6.8050,0
6.8131,0
6.8447,0
6.8553,0
6.8849,0
6.8952,0
6.9285,0
6.9353,0
6.9533,0
