timestamp,signal,value,raw
1782240595.644550,gear_position,N,0
1782240595.644550,clutch,RELEASED,0
1782240595.644550,shift_failed,OK,0
1782240595.660478,coolant_temp,0.0,0
1782240595.660478,warmup_index,0,0
1782240595.660478,side_stand,DOWN,0
1782240595.660811,rpm,0,0
1782240595.660811,throttle_position,0,0
1782240595.684227,gear_position,N,0
1782240595.684227,clutch,RELEASED,0
1782240595.684227,shift_failed,OK,0
1782240595.684322,rpm,0,0
1782240595.684322,throttle_position,0,0
1782240595.699968,gear_position,N,0
1782240595.699968,clutch,RELEASED,0
1782240595.699968,shift_failed,OK,0
1782240595.700069,rpm,0,0
1782240595.700069,throttle_position,0,0
1782240595.705416,gear_position,N,0
1782240595.705416,clutch,RELEASED,0
1782240595.705416,shift_failed,OK,0
1782240595.724866,rpm,0,0
1782240595.724866,throttle_position,0,0
1782240595.725406,gear_position,N,0
1782240595.725406,clutch,RELEASED,0
1782240595.725406,shift_failed,OK,0
1782240595.743633,rpm,0,0
1782240595.743633,throttle_position,0,0
1782240595.744335,gear_position,N,0
1782240595.744335,clutch,RELEASED,0
1782240595.744335,shift_failed,OK,0
1782240595.759571,coolant_temp,47.0,470
1782240595.759571,warmup_index,0,0
1782240595.759571,side_stand,UP,1
1782240595.759850,rpm,0,0
1782240595.759850,throttle_position,0,0
1782240595.780327,gear_position,N,0
1782240595.780327,clutch,RELEASED,0
1782240595.780327,shift_failed,OK,0
1782240595.780565,rpm,0,0
1782240595.780565,throttle_position,0,0
1782240595.800432,gear_position,N,0
1782240595.800432,clutch,RELEASED,0
1782240595.800432,shift_failed,OK,0
1782240595.800668,rpm,0,0
1782240595.800668,throttle_position,0,0
1782240595.806179,gear_position,N,0
1782240595.806179,clutch,RELEASED,0
1782240595.806179,shift_failed,OK,0
1782240595.825033,rpm,0,0
1782240595.825033,throttle_position,0,0
1782240595.826246,gear_position,N,0
1782240595.826246,clutch,RELEASED,0
1782240595.826246,shift_failed,OK,0
1782240595.843554,rpm,0,0
1782240595.843554,throttle_position,0,0
1782240595.849930,gear_position,N,0
1782240595.849930,clutch,RELEASED,0
1782240595.849930,shift_failed,OK,0
1782240595.850180,coolant_temp,47.0,470
1782240595.850180,warmup_index,0,0
1782240595.850180,side_stand,UP,1
1782240595.850652,rpm,0,0
1782240595.850652,throttle_position,0,0
1782240595.850895,kill_switch,RUN,1
1782240595.850895,engine_on_counter,0,0
1782240595.867091,gear_position,N,0
1782240595.867091,clutch,RELEASED,0
1782240595.867091,shift_failed,OK,0
1782240595.867261,rpm,0,0
1782240595.867261,throttle_position,0,0
1782240595.883442,kill_switch,RUN,1
1782240595.883442,engine_on_counter,0,0
1782240595.900236,gear_position,N,0
1782240595.900236,clutch,RELEASED,0
1782240595.900236,shift_failed,OK,0
1782240595.900501,rpm,0,0
1782240595.900501,throttle_position,0,0
1782240595.900746,kill_switch,RUN,1
1782240595.900746,engine_on_counter,0,0
1782240595.907292,gear_position,N,0
1782240595.907292,clutch,RELEASED,0
1782240595.907292,shift_failed,OK,0
1782240595.907529,rpm,0,0
1782240595.907529,throttle_position,0,0
1782240595.907765,kill_switch,RUN,1
1782240595.907765,engine_on_counter,0,0
1782240595.943196,gear_position,N,0
1782240595.943196,clutch,RELEASED,0
1782240595.943196,shift_failed,OK,0
1782240595.943330,rpm,0,0
1782240595.943330,throttle_position,0,0
1782240595.943434,kill_switch,RUN,1
1782240595.943434,engine_on_counter,0,0
1782240595.949894,gear_position,N,0
1782240595.949894,clutch,RELEASED,0
1782240595.949894,shift_failed,OK,0
1782240595.949997,coolant_temp,47.0,470
1782240595.949997,warmup_index,0,0
1782240595.949997,side_stand,UP,1
1782240595.950213,rpm,0,0
1782240595.950213,throttle_position,0,0
1782240595.950324,kill_switch,RUN,1
1782240595.950324,engine_on_counter,0,0
1782240595.965647,gear_position,N,0
1782240595.965647,clutch,RELEASED,0
1782240595.965647,shift_failed,OK,0
1782240595.983233,rpm,0,0
1782240595.983233,throttle_position,0,0
1782240595.983383,kill_switch,RUN,1
1782240595.983383,engine_on_counter,0,0
1782240596.000327,gear_position,N,0
1782240596.000327,clutch,RELEASED,0
1782240596.000327,shift_failed,OK,0
1782240596.000508,rpm,0,0
1782240596.000508,throttle_position,0,0
1782240596.000683,kill_switch,RUN,1
1782240596.000683,engine_on_counter,0,0
1782240596.005537,gear_position,N,0
1782240596.005537,clutch,RELEASED,0
1782240596.005537,shift_failed,OK,0
1782240596.025344,rpm,0,0
1782240596.025344,throttle_position,0,0
1782240596.025608,kill_switch,RUN,1
1782240596.025608,engine_on_counter,0,0
1782240596.040475,gear_position,N,0
1782240596.040475,clutch,RELEASED,0
1782240596.040475,shift_failed,OK,0
1782240596.040721,rpm,0,0
1782240596.040721,throttle_position,0,0
1782240596.040964,kill_switch,RUN,1
1782240596.040964,engine_on_counter,0,0
1782240596.046968,gear_position,N,0
1782240596.046968,clutch,RELEASED,0
1782240596.046968,shift_failed,OK,0
1782240596.047210,coolant_temp,47.0,470
1782240596.047210,warmup_index,0,0
1782240596.047210,side_stand,UP,1
1782240596.047620,rpm,0,0
1782240596.047620,throttle_position,0,0
1782240596.063330,kill_switch,RUN,1
1782240596.063330,engine_on_counter,0,0
1782240596.080079,gear_position,N,0
1782240596.080079,clutch,RELEASED,0
1782240596.080079,shift_failed,OK,0
1782240596.080326,rpm,0,0
1782240596.080326,throttle_position,0,0
1782240596.080564,kill_switch,RUN,1
1782240596.080564,engine_on_counter,0,0
1782240596.091373,gear_position,N,0
1782240596.091373,clutch,RELEASED,0
1782240596.091373,shift_failed,OK,0
1782240596.091520,rpm,0,0
1782240596.091520,throttle_position,0,0
1782240596.091657,kill_switch,RUN,1
1782240596.091657,engine_on_counter,0,0
1782240596.121160,gear_position,N,0
1782240596.121160,clutch,RELEASED,0
1782240596.121160,shift_failed,OK,0
1782240596.121407,rpm,0,0
1782240596.121407,throttle_position,0,0
1782240596.121646,kill_switch,RUN,1
1782240596.121646,engine_on_counter,0,0
1782240596.140501,gear_position,N,0
1782240596.140501,clutch,RELEASED,0
1782240596.140501,shift_failed,OK,0
1782240596.140737,rpm,0,0
1782240596.140737,throttle_position,0,0
1782240596.140972,kill_switch,RUN,1
1782240596.140972,engine_on_counter,0,0
1782240596.144513,gear_position,N,0
1782240596.144513,clutch,RELEASED,0
1782240596.144513,shift_failed,OK,0
1782240596.144626,coolant_temp,47.0,470
1782240596.144626,warmup_index,0,0
1782240596.144626,side_stand,UP,1
1782240596.150995,rpm,0,0
1782240596.150995,throttle_position,0,0
1782240596.151229,kill_switch,RUN,1
1782240596.151229,engine_on_counter,0,0
1782240596.167432,gear_position,N,0
1782240596.167432,clutch,RELEASED,0
1782240596.167432,shift_failed,OK,0
1782240596.167667,rpm,0,0
1782240596.167667,throttle_position,0,0
1782240596.183276,kill_switch,RUN,1
1782240596.183276,engine_on_counter,0,0
1782240596.200361,gear_position,N,0
1782240596.200361,clutch,RELEASED,0
1782240596.200361,shift_failed,OK,0
1782240596.200544,rpm,0,0
1782240596.200544,throttle_position,0,0
1782240596.200661,kill_switch,RUN,1
1782240596.200661,engine_on_counter,0,0
1782240596.206877,gear_position,N,0
1782240596.206877,clutch,RELEASED,0
1782240596.206877,shift_failed,OK,0
1782240596.206987,rpm,0,0
1782240596.206987,throttle_position,0,0
1782240596.224460,kill_switch,RUN,1
1782240596.224460,engine_on_counter,0,0
1782240596.243428,gear_position,N,0
1782240596.243428,clutch,RELEASED,0
1782240596.243428,shift_failed,OK,0
1782240596.243641,rpm,0,0
1782240596.243641,throttle_position,0,0
1782240596.243794,kill_switch,RUN,1
1782240596.243794,engine_on_counter,0,0
1782240596.250332,gear_position,N,0
1782240596.250332,clutch,RELEASED,0
1782240596.250332,shift_failed,OK,0
1782240596.250523,coolant_temp,47.0,470
1782240596.250523,warmup_index,0,0
1782240596.250523,side_stand,UP,1
1782240596.250876,rpm,0,0
1782240596.250876,throttle_position,0,0
1782240596.251051,kill_switch,RUN,1
1782240596.251051,engine_on_counter,0,0
1782240596.280122,gear_position,N,0
1782240596.280122,clutch,RELEASED,0
1782240596.280122,shift_failed,OK,0
1782240596.280395,rpm,0,0
1782240596.280395,throttle_position,0,0
1782240596.280633,kill_switch,RUN,1
1782240596.280633,engine_on_counter,0,0
1782240596.300583,gear_position,N,0
1782240596.300583,clutch,RELEASED,0
1782240596.300583,shift_failed,OK,0
1782240596.300815,rpm,0,0
1782240596.300815,throttle_position,0,0
1782240596.301047,kill_switch,RUN,1
1782240596.301047,engine_on_counter,0,0
1782240596.306218,gear_position,N,0
1782240596.306218,clutch,RELEASED,0
1782240596.306218,shift_failed,OK,0
1782240596.325663,rpm,0,0
1782240596.325663,throttle_position,0,0
1782240596.325814,kill_switch,RUN,1
1782240596.325814,engine_on_counter,0,0
1782240596.340303,gear_position,N,0
1782240596.340303,clutch,RELEASED,0
1782240596.340303,shift_failed,OK,0
1782240596.340542,rpm,0,0
1782240596.340542,throttle_position,0,0
1782240596.340778,kill_switch,RUN,1
1782240596.340778,engine_on_counter,0,0
1782240596.345632,gear_position,N,0
1782240596.345632,clutch,RELEASED,0
1782240596.345632,shift_failed,OK,0
1782240596.345867,coolant_temp,47.0,470
1782240596.345867,warmup_index,0,0
1782240596.345867,side_stand,UP,1
1782240596.363205,rpm,0,0
1782240596.363205,throttle_position,0,0
1782240596.363464,kill_switch,RUN,1
1782240596.363464,engine_on_counter,0,0
1782240596.380164,gear_position,N,0
1782240596.380164,clutch,RELEASED,0
1782240596.380164,shift_failed,OK,0
1782240596.380398,rpm,0,0
1782240596.380398,throttle_position,0,0
1782240596.380629,kill_switch,RUN,1
1782240596.380629,engine_on_counter,0,0
1782240596.392769,gear_position,N,0
1782240596.392769,clutch,RELEASED,0
1782240596.392769,shift_failed,OK,0
1782240596.392898,rpm,0,0
1782240596.392898,throttle_position,0,0
1782240596.393014,kill_switch,RUN,1
1782240596.393014,engine_on_counter,0,0
1782240596.420287,gear_position,N,0
1782240596.420287,clutch,RELEASED,0
1782240596.420287,shift_failed,OK,0
1782240596.420556,rpm,0,0
1782240596.420556,throttle_position,0,0
1782240596.420802,kill_switch,RUN,1
1782240596.420802,engine_on_counter,0,0
1782240596.433850,gear_position,N,0
1782240596.433850,clutch,RELEASED,0
1782240596.433850,shift_failed,OK,0
1782240596.434039,rpm,0,0
1782240596.434039,throttle_position,0,0
1782240596.434212,kill_switch,RUN,1
1782240596.434212,engine_on_counter,0,0
1782240596.444466,gear_position,N,0
1782240596.444466,clutch,RELEASED,0
1782240596.444466,shift_failed,OK,0
1782240596.444576,coolant_temp,47.0,470
1782240596.444576,warmup_index,0,0
1782240596.444576,side_stand,UP,1
1782240596.460291,rpm,0,0
1782240596.460291,throttle_position,0,0
1782240596.460426,kill_switch,RUN,1
1782240596.460426,engine_on_counter,0,0
1782240596.471366,gear_position,N,0
1782240596.471366,clutch,RELEASED,0
1782240596.471366,shift_failed,OK,0
1782240596.471462,rpm,0,0
1782240596.471462,throttle_position,0,0
1782240596.471559,kill_switch,RUN,1
1782240596.471559,engine_on_counter,0,0
1782240596.485544,gear_position,N,0
1782240596.485544,clutch,RELEASED,0
1782240596.485544,shift_failed,OK,0
1782240596.485653,rpm,0,0
1782240596.485653,throttle_position,0,0
1782240596.500833,kill_switch,RUN,1
1782240596.500833,engine_on_counter,0,0
1782240596.520344,gear_position,N,0
1782240596.520344,clutch,RELEASED,0
1782240596.520344,shift_failed,OK,0
1782240596.520575,rpm,0,0
1782240596.520575,throttle_position,0,0
1782240596.520806,kill_switch,RUN,1
1782240596.520806,engine_on_counter,0,0
1782240596.527248,gear_position,N,0
1782240596.527248,clutch,RELEASED,0
1782240596.527248,shift_failed,OK,0
1782240596.527363,rpm,0,0
1782240596.527363,throttle_position,0,0
1782240596.543785,kill_switch,RUN,1
1782240596.543785,engine_on_counter,0,0
1782240596.544968,gear_position,N,0
1782240596.544968,clutch,RELEASED,0
1782240596.544968,shift_failed,OK,0
1782240596.560001,coolant_temp,47.0,470
1782240596.560001,warmup_index,0,0
1782240596.560001,side_stand,UP,1
1782240596.560477,rpm,0,0
1782240596.560477,throttle_position,0,0
1782240596.560711,kill_switch,RUN,1
1782240596.560711,engine_on_counter,0,0
1782240596.568239,gear_position,N,0
1782240596.568239,clutch,RELEASED,0
1782240596.568239,shift_failed,OK,0
1782240596.568471,rpm,0,0
1782240596.568471,throttle_position,0,0
1782240596.583421,kill_switch,RUN,1
1782240596.583421,engine_on_counter,0,0
1782240596.600469,gear_position,N,0
1782240596.600469,clutch,RELEASED,0
1782240596.600469,shift_failed,OK,0
1782240596.600636,rpm,0,0
1782240596.600636,throttle_position,0,0
1782240596.600773,kill_switch,RUN,1
1782240596.600773,engine_on_counter,0,0
1782240596.610822,gear_position,N,0
1782240596.610822,clutch,RELEASED,0
1782240596.610822,shift_failed,OK,0
1782240596.611054,rpm,0,0
1782240596.611054,throttle_position,0,0
1782240596.611286,kill_switch,RUN,1
1782240596.611286,engine_on_counter,0,0
1782240596.626280,gear_position,N,0
1782240596.626280,clutch,RELEASED,0
1782240596.626280,shift_failed,OK,0
1782240596.643232,rpm,0,0
1782240596.643232,throttle_position,0,0
1782240596.643465,kill_switch,RUN,1
1782240596.643465,engine_on_counter,0,0
1782240596.650215,gear_position,N,0
1782240596.650215,clutch,RELEASED,0
1782240596.650215,shift_failed,OK,0
1782240596.650466,coolant_temp,47.0,470
1782240596.650466,warmup_index,0,0
