timestamp,signal,value,raw
1782238140.276230,gear_position,N,0
1782238140.276230,shift_lever_displaced,REST,0
1782238140.276230,shift_lever_failed,OK,0
1782238140.276338,rpm,0,0
1782238140.276338,throttle_position,0,0
1782238140.276545,kill_switch,RUN,1
1782238140.276545,engine_on_counter,0,0
1782238140.277309,gear_position,N,0
1782238140.277309,shift_lever_displaced,REST,0
1782238140.277309,shift_lever_failed,OK,0
1782238140.277461,rpm,0,0
1782238140.277461,throttle_position,0,0
1782238140.278782,kill_switch,RUN,1
1782238140.278782,engine_on_counter,0,0
1782238140.284851,gear_position,N,0
1782238140.284851,shift_lever_displaced,REST,0
1782238140.284851,shift_lever_failed,OK,0
1782238140.284936,rpm,0,0
1782238140.284936,throttle_position,0,0
1782238140.285846,kill_switch,RUN,1
1782238140.285846,engine_on_counter,0,0
1782238140.287256,gear_position,N,0
1782238140.287256,shift_lever_displaced,REST,0
1782238140.287256,shift_lever_failed,OK,0
1782238140.287313,rpm,0,0
1782238140.287313,throttle_position,0,0
1782238140.290646,kill_switch,RUN,1
1782238140.290646,engine_on_counter,0,0
1782238140.296538,gear_position,N,0
1782238140.296538,shift_lever_displaced,REST,0
1782238140.296538,shift_lever_failed,OK,0
1782238140.296577,coolant_temp,73.8,738
1782238140.296577,warmup_index,0,0
1782238140.296577,side_stand,UP,1
1782238140.301540,rpm,0,0
1782238140.301540,throttle_position,0,0
1782238140.301613,kill_switch,RUN,1
1782238140.301613,engine_on_counter,0,0
1782238140.319662,gear_position,N,0
1782238140.319662,shift_lever_displaced,REST,0
1782238140.319662,shift_lever_failed,OK,0
1782238140.319703,rpm,0,0
1782238140.319703,throttle_position,0,0
1782238140.328045,kill_switch,RUN,1
1782238140.328045,engine_on_counter,0,0
1782238140.347691,gear_position,N,0
1782238140.347691,shift_lever_displaced,REST,0
1782238140.347691,shift_lever_failed,OK,0
1782238140.347745,rpm,0,0
1782238140.347745,throttle_position,0,0
1782238140.347851,kill_switch,RUN,1
1782238140.347851,engine_on_counter,0,0
1782238140.361446,gear_position,N,0
1782238140.361446,shift_lever_displaced,REST,0
1782238140.361446,shift_lever_failed,OK,0
1782238140.361496,rpm,0,0
1782238140.361496,throttle_position,0,0
1782238140.361644,kill_switch,RUN,1
1782238140.361644,engine_on_counter,0,0
1782238140.371693,gear_position,N,0
1782238140.371693,shift_lever_displaced,REST,0
1782238140.371693,shift_lever_failed,OK,0
1782238140.371745,rpm,0,0
1782238140.371745,throttle_position,0,0
1782238140.388170,kill_switch,RUN,1
1782238140.388170,engine_on_counter,0,0
1782238140.401287,gear_position,N,0
1782238140.401287,shift_lever_displaced,REST,0
1782238140.401287,shift_lever_failed,OK,0
1782238140.401380,coolant_temp,73.8,738
1782238140.401380,warmup_index,0,0
1782238140.401380,side_stand,UP,1
1782238140.401505,rpm,0,0
1782238140.401505,throttle_position,0,0
1782238140.401631,kill_switch,RUN,1
1782238140.401631,engine_on_counter,0,0
1782238140.411577,gear_position,N,0
1782238140.411577,shift_lever_displaced,REST,0
1782238140.411577,shift_lever_failed,OK,0
1782238140.411633,rpm,0,0
1782238140.411633,throttle_position,0,0
1782238140.427866,kill_switch,RUN,1
1782238140.427866,engine_on_counter,0,0
1782238140.441599,gear_position,N,0
1782238140.441599,shift_lever_displaced,REST,0
1782238140.441599,shift_lever_failed,OK,0
1782238140.441668,rpm,0,0
1782238140.441668,throttle_position,0,0
1782238140.441806,kill_switch,RUN,1
1782238140.441806,engine_on_counter,0,0
1782238140.453278,gear_position,N,0
1782238140.453278,shift_lever_displaced,REST,0
1782238140.453278,shift_lever_failed,OK,0
1782238140.453345,rpm,0,0
1782238140.453345,throttle_position,0,0
1782238140.469482,kill_switch,RUN,1
1782238140.469482,engine_on_counter,0,0
1782238140.469794,gear_position,N,0
1782238140.469794,shift_lever_displaced,REST,0
1782238140.469794,shift_lever_failed,OK,0
1782238140.487746,rpm,0,0
1782238140.487746,throttle_position,0,0
1782238140.488063,kill_switch,RUN,1
1782238140.488063,engine_on_counter,0,0
1782238140.499651,gear_position,N,0
1782238140.499651,shift_lever_displaced,REST,0
1782238140.499651,shift_lever_failed,OK,0
1782238140.499758,coolant_temp,73.7,737
1782238140.499758,warmup_index,0,0
1782238140.499758,side_stand,UP,1
1782238140.499971,rpm,0,0
1782238140.499971,throttle_position,0,0
1782238140.509490,kill_switch,RUN,1
1782238140.509490,engine_on_counter,0,0
1782238140.510022,gear_position,N,0
1782238140.510022,shift_lever_displaced,REST,0
1782238140.510022,shift_lever_failed,OK,0
1782238140.522168,rpm,0,0
1782238140.522168,throttle_position,0,0
1782238140.522474,kill_switch,RUN,1
1782238140.522474,engine_on_counter,0,0
1782238140.544184,gear_position,N,0
1782238140.544184,shift_lever_displaced,REST,0
1782238140.544184,shift_lever_failed,OK,0
1782238140.544323,rpm,0,0
1782238140.544323,throttle_position,0,0
1782238140.551244,kill_switch,RUN,1
1782238140.551244,engine_on_counter,0,0
1782238140.551620,gear_position,N,0
1782238140.551620,shift_lever_displaced,REST,0
1782238140.551620,shift_lever_failed,OK,0
1782238140.551709,rpm,0,0
1782238140.551709,throttle_position,0,0
1782238140.568252,kill_switch,RUN,1
1782238140.568252,engine_on_counter,0,0
1782238140.581559,gear_position,N,0
1782238140.581559,shift_lever_displaced,REST,0
1782238140.581559,shift_lever_failed,OK,0
1782238140.581757,rpm,0,0
1782238140.581757,throttle_position,0,0
1782238140.583181,kill_switch,RUN,1
1782238140.583181,engine_on_counter,0,0
1782238140.591588,gear_position,N,0
1782238140.591588,shift_lever_displaced,REST,0
1782238140.591588,shift_lever_failed,OK,0
1782238140.591711,coolant_temp,73.7,737
1782238140.591711,warmup_index,0,0
1782238140.591711,side_stand,UP,1
1782238140.591926,rpm,0,0
1782238140.591926,throttle_position,0,0
1782238140.608079,kill_switch,RUN,1
1782238140.608079,engine_on_counter,0,0
1782238140.621684,gear_position,N,0
1782238140.621684,shift_lever_displaced,REST,0
1782238140.621684,shift_lever_failed,OK,0
1782238140.621886,rpm,0,0
1782238140.621886,throttle_position,0,0
1782238140.622277,kill_switch,RUN,1
1782238140.622277,engine_on_counter,0,0
1782238140.632233,gear_position,N,0
1782238140.632233,shift_lever_displaced,REST,0
1782238140.632233,shift_lever_failed,OK,0
1782238140.632473,rpm,0,0
1782238140.632473,throttle_position,0,0
1782238140.650041,kill_switch,RUN,1
1782238140.650041,engine_on_counter,0,0
1782238140.650637,gear_position,N,0
1782238140.650637,shift_lever_displaced,REST,0
1782238140.650637,shift_lever_failed,OK,0
1782238140.667893,rpm,0,0
1782238140.667893,throttle_position,0,0
1782238140.668692,kill_switch,RUN,1
1782238140.668692,engine_on_counter,0,0
1782238140.681361,gear_position,N,0
1782238140.681361,shift_lever_displaced,REST,0
1782238140.681361,shift_lever_failed,OK,0
1782238140.681526,rpm,0,0
1782238140.681526,throttle_position,0,0
1782238140.683328,kill_switch,RUN,1
1782238140.683328,engine_on_counter,0,0
1782238140.689162,gear_position,N,0
1782238140.689162,shift_lever_displaced,REST,0
1782238140.689162,shift_lever_failed,OK,0
1782238140.689337,coolant_temp,73.7,737
1782238140.689337,warmup_index,0,0
1782238140.689337,side_stand,UP,1
1782238140.703544,rpm,0,0
1782238140.703544,throttle_position,0,0
1782238140.704024,kill_switch,RUN,1
1782238140.704024,engine_on_counter,0,0
1782238140.721490,gear_position,N,0
1782238140.721490,shift_lever_displaced,REST,0
1782238140.721490,shift_lever_failed,OK,0
1782238140.721596,rpm,0,0
1782238140.721596,throttle_position,0,0
1782238140.721807,kill_switch,RUN,1
1782238140.721807,engine_on_counter,0,0
1782238140.730775,gear_position,N,0
1782238140.730775,shift_lever_displaced,REST,0
1782238140.730775,shift_lever_failed,OK,0
1782238140.748003,rpm,0,0
1782238140.748003,throttle_position,0,0
1782238140.749743,kill_switch,RUN,1
1782238140.749743,engine_on_counter,0,0
1782238140.761437,gear_position,N,0
1782238140.761437,shift_lever_displaced,REST,0
1782238140.761437,shift_lever_failed,OK,0
1782238140.761689,rpm,0,0
1782238140.761689,throttle_position,0,0
1782238140.762441,kill_switch,RUN,1
1782238140.762441,engine_on_counter,0,0
1782238140.772091,gear_position,N,0
1782238140.772091,shift_lever_displaced,REST,0
1782238140.772091,shift_lever_failed,OK,0
1782238140.772329,rpm,0,0
1782238140.772329,throttle_position,0,0
1782238140.796213,kill_switch,RUN,1
1782238140.796213,engine_on_counter,0,0
1782238140.796578,gear_position,N,0
1782238140.796578,shift_lever_displaced,REST,0
1782238140.796578,shift_lever_failed,OK,0
1782238140.799539,coolant_temp,73.8,738
1782238140.799539,warmup_index,0,0
1782238140.799539,side_stand,UP,1
1782238140.799791,rpm,0,0
1782238140.799791,throttle_position,0,0
1782238140.808057,kill_switch,RUN,1
1782238140.808057,engine_on_counter,0,0
1782238140.821765,gear_position,N,0
1782238140.821765,shift_lever_displaced,REST,0
1782238140.821765,shift_lever_failed,OK,0
1782238140.821902,rpm,0,0
1782238140.821902,throttle_position,0,0
1782238140.822115,kill_switch,RUN,1
1782238140.822115,engine_on_counter,0,0
1782238140.839831,gear_position,N,0
1782238140.839831,shift_lever_displaced,REST,0
1782238140.839831,shift_lever_failed,OK,0
1782238140.839920,rpm,0,0
1782238140.839920,throttle_position,0,0
1782238140.851307,kill_switch,RUN,1
1782238140.851307,engine_on_counter,0,0
1782238140.851746,gear_position,N,0
1782238140.851746,shift_lever_displaced,REST,0
1782238140.851746,shift_lever_failed,OK,0
1782238140.851851,rpm,0,0
1782238140.851851,throttle_position,0,0
1782238140.868542,kill_switch,RUN,1
1782238140.868542,engine_on_counter,0,0
1782238140.881303,gear_position,N,0
1782238140.881303,shift_lever_displaced,REST,0
1782238140.881303,shift_lever_failed,OK,0
1782238140.881558,rpm,0,0
1782238140.881558,throttle_position,0,0
1782238140.883612,kill_switch,RUN,1
1782238140.883612,engine_on_counter,0,0
1782238140.890267,gear_position,N,0
1782238140.890267,shift_lever_displaced,REST,0
1782238140.890267,shift_lever_failed,OK,0
1782238140.890514,coolant_temp,73.8,738
1782238140.890514,warmup_index,0,0
1782238140.890514,side_stand,UP,1
1782238140.907720,rpm,0,0
1782238140.907720,throttle_position,0,0
1782238140.908014,kill_switch,RUN,1
1782238140.908014,engine_on_counter,0,0
1782238140.921616,gear_position,N,0
1782238140.921616,shift_lever_displaced,REST,0
1782238140.921616,shift_lever_failed,OK,0
1782238140.921716,rpm,0,0
1782238140.921716,throttle_position,0,0
1782238140.921931,kill_switch,RUN,1
1782238140.921931,engine_on_counter,0,0
1782238140.932688,gear_position,N,0
1782238140.932688,shift_lever_displaced,REST,0
1782238140.932688,shift_lever_failed,OK,0
1782238140.932930,rpm,0,0
1782238140.932930,throttle_position,0,0
1782238140.950851,kill_switch,RUN,1
1782238140.950851,engine_on_counter,0,0
1782238140.951418,gear_position,N,0
1782238140.951418,shift_lever_displaced,REST,0
1782238140.951418,shift_lever_failed,OK,0
1782238140.961683,rpm,0,0
1782238140.961683,throttle_position,0,0
1782238140.962396,kill_switch,RUN,1
1782238140.962396,engine_on_counter,0,0
1782238140.979727,gear_position,N,0
1782238140.979727,shift_lever_displaced,REST,0
1782238140.979727,shift_lever_failed,OK,0
1782238140.979833,rpm,0,0
1782238140.979833,throttle_position,0,0
1782238140.988467,kill_switch,RUN,1
1782238140.988467,engine_on_counter,0,0
1782238140.988913,gear_position,N,0
1782238140.988913,shift_lever_displaced,REST,0
1782238140.988913,shift_lever_failed,OK,0
1782238140.989048,coolant_temp,73.8,738
1782238140.989048,warmup_index,0,0
1782238140.989048,side_stand,UP,1
1782238141.003570,rpm,0,0
1782238141.003570,throttle_position,0,0
1782238141.003859,kill_switch,RUN,1
1782238141.003859,engine_on_counter,0,0
1782238141.021533,gear_position,N,0
1782238141.021533,shift_lever_displaced,REST,0
1782238141.021533,shift_lever_failed,OK,0
1782238141.021642,rpm,0,0
1782238141.021642,throttle_position,0,0
1782238141.021835,kill_switch,RUN,1
1782238141.021835,engine_on_counter,0,0
1782238141.048232,gear_position,N,0
1782238141.048232,shift_lever_displaced,REST,0
1782238141.048232,shift_lever_failed,OK,0
1782238141.048429,rpm,0,0
1782238141.048429,throttle_position,0,0
1782238141.048635,kill_switch,RUN,1
1782238141.048635,engine_on_counter,0,0
1782238141.061289,gear_position,N,0
1782238141.061289,shift_lever_displaced,REST,0
1782238141.061289,shift_lever_failed,OK,0
1782238141.061379,rpm,0,0
1782238141.061379,throttle_position,0,0
1782238141.061645,kill_switch,RUN,1
1782238141.061645,engine_on_counter,0,0
1782238141.071774,gear_position,N,0
1782238141.071774,shift_lever_displaced,REST,0
1782238141.071774,shift_lever_failed,OK,0
1782238141.071880,rpm,0,0
1782238141.071880,throttle_position,0,0
1782238141.090250,kill_switch,RUN,1
1782238141.090250,engine_on_counter,0,0
1782238141.092059,gear_position,N,0
1782238141.092059,shift_lever_displaced,REST,0
1782238141.092059,shift_lever_failed,OK,0
1782238141.103779,coolant_temp,73.8,738
1782238141.103779,warmup_index,0,0
1782238141.103779,side_stand,UP,1
1782238141.104086,rpm,0,0
1782238141.104086,throttle_position,0,0
1782238141.104236,kill_switch,RUN,1
1782238141.104236,engine_on_counter,0,0
1782238141.111536,gear_position,N,0
1782238141.111536,shift_lever_displaced,REST,0
1782238141.111536,shift_lever_failed,OK,0
1782238141.111597,rpm,0,0
1782238141.111597,throttle_position,0,0
1782238141.127824,kill_switch,RUN,1
1782238141.127824,engine_on_counter,0,0
1782238141.141464,gear_position,N,0
1782238141.141464,shift_lever_displaced,REST,0
1782238141.141464,shift_lever_failed,OK,0
1782238141.141533,rpm,0,0
1782238141.141533,throttle_position,0,0
1782238141.141669,kill_switch,RUN,1
1782238141.141669,engine_on_counter,0,0
1782238141.159712,gear_position,N,0
1782238141.159712,shift_lever_displaced,REST,0
1782238141.159712,shift_lever_failed,OK,0
1782238141.159789,rpm,0,0
1782238141.159789,throttle_position,0,0
1782238141.171199,kill_switch,RUN,1
1782238141.171199,engine_on_counter,0,0
1782238141.171510,gear_position,N,0
1782238141.171510,shift_lever_displaced,REST,0
1782238141.171510,shift_lever_failed,OK,0
1782238141.171587,rpm,0,0
1782238141.171587,throttle_position,0,0
1782238141.188007,kill_switch,RUN,1
1782238141.188007,engine_on_counter,0,0
1782238141.199601,gear_position,N,0
1782238141.199601,shift_lever_displaced,REST,0
1782238141.199601,shift_lever_failed,OK,0
1782238141.199706,coolant_temp,73.8,738
1782238141.199706,warmup_index,0,0
1782238141.199706,side_stand,UP,1
1782238141.199916,rpm,0,0
1782238141.199916,throttle_position,0,0
1782238141.209542,kill_switch,RUN,1
1782238141.209542,engine_on_counter,0,0
1782238141.210083,gear_position,N,0
1782238141.210083,shift_lever_displaced,REST,0
1782238141.210083,shift_lever_failed,OK,0
1782238141.222014,rpm,0,0
1782238141.222014,throttle_position,0,0
1782238141.222278,kill_switch,RUN,1
1782238141.222278,engine_on_counter,0,0
1782238141.241596,gear_position,N,0
1782238141.241596,shift_lever_displaced,REST,0
1782238141.241596,shift_lever_failed,OK,0
1782238141.241771,rpm,0,0
1782238141.241771,throttle_position,0,0
1782238141.242122,kill_switch,RUN,1
1782238141.242122,engine_on_counter,0,0
1782238141.253973,gear_position,N,0
1782238141.253973,shift_lever_displaced,REST,0
1782238141.253973,shift_lever_failed,OK,0
1782238141.254090,rpm,0,0
1782238141.254090,throttle_position,0,0
1782238141.268491,kill_switch,RUN,1
1782238141.268491,engine_on_counter,0,0
1782238141.281358,gear_position,N,0
1782238141.281358,shift_lever_displaced,REST,0
1782238141.281358,shift_lever_failed,OK,0
1782238141.284241,rpm,0,0
1782238141.284241,throttle_position,0,0
1782238141.284593,kill_switch,RUN,1
1782238141.284593,engine_on_counter,0,0
1782238141.291439,gear_position,N,0
1782238141.291439,shift_lever_displaced,REST,0
1782238141.291439,shift_lever_failed,OK,0
