timestamp,signal,value,raw
1782315560.203990,wheel_speed_rear,0.0,0
1782315560.204389,wheel_speed_rear,0.0,0
1782315560.204692,wheel_speed_rear,0.0,0
1782315560.204950,wheel_speed_rear,0.0,0
1782315560.205197,wheel_speed_rear,0.0,0
1782315560.205445,wheel_speed_rear,0.0,0
1782315560.205688,wheel_speed_rear,0.0,0
1782315560.205931,wheel_speed_rear,0.0,0
1782315560.206306,wheel_speed_rear,0.0,0
1782315560.206589,wheel_speed_rear,0.0,0
1782315560.206841,wheel_speed_rear,0.0,0
1782315560.207085,wheel_speed_rear,0.0,0
1782315560.207329,wheel_speed_rear,0.0,0
1782315560.207526,wheel_speed_rear,0.0,0
1782315560.207628,wheel_speed_rear,0.0,0
1782315560.207725,wheel_speed_rear,0.0,0
1782315560.207820,wheel_speed_rear,0.0,0
1782315560.207917,wheel_speed_rear,0.0,0
1782315560.208013,wheel_speed_rear,0.0,0
1782315560.209247,wheel_speed_rear,0.0,0
1782315560.209496,wheel_speed_rear,0.0,0
1782315560.209617,wheel_speed_rear,0.0,0
1782315560.209715,wheel_speed_rear,0.0,0
1782315560.209811,wheel_speed_rear,0.0,0
1782315560.209906,wheel_speed_rear,0.0,0
1782315560.210779,wheel_speed_rear,0.0,0
1782315560.210896,wheel_speed_rear,0.0,0
1782315560.210995,wheel_speed_rear,0.0,0
1782315560.211091,wheel_speed_rear,0.0,0
1782315560.211187,wheel_speed_rear,0.0,0
1782315560.211283,wheel_speed_rear,0.0,0
1782315560.212447,wheel_speed_rear,0.0,0
1782315560.212557,wheel_speed_rear,0.0,0
1782315560.212662,wheel_speed_rear,0.0,0
1782315560.212760,wheel_speed_rear,0.0,0
1782315560.212857,wheel_speed_rear,0.0,0
1782315560.212957,wheel_speed_rear,0.0,0
1782315560.214118,wheel_speed_rear,0.0,0
1782315560.214231,wheel_speed_rear,0.0,0
1782315560.214333,wheel_speed_rear,0.0,0
1782315560.214438,wheel_speed_rear,0.0,0
1782315560.214539,wheel_speed_rear,0.0,0
1782315560.214639,wheel_speed_rear,0.0,0
1782315560.215779,wheel_speed_rear,0.0,0
1782315560.215887,wheel_speed_rear,0.0,0
1782315560.215986,wheel_speed_rear,0.0,0
1782315560.216083,wheel_speed_rear,0.0,0
1782315560.216181,wheel_speed_rear,0.0,0
1782315560.216282,wheel_speed_rear,0.0,0
1782315560.219585,wheel_speed_rear,0.0,0
1782315560.219806,wheel_speed_rear,0.0,0
