timestamp,signal,value,raw
1784906502.427395,wheel_speed_rear,0.0,0
1784906502.427395,wheel_speed_front,0.0,0
1784906502.427395,rear_speed_band,0.0,0
1784906502.427612,rpm,0,0
1784906502.427612,throttle_position,0,0
1784906502.427832,kill_switch,RUN,1
1784906502.427832,time_bin_541_d3,0,0
1784906502.427832,engine_on_counter,0,0
1784906502.427832,engine_off_counter,18,18
1784906502.427888,wheel_speed_rear,0.0,0
1784906502.427888,wheel_speed_front,0.0,0
1784906502.427888,rear_speed_band,0.0,0
1784906502.427919,signal_12a_d1_bit2,1,1
1784906502.427919,abs_lamp,LIT,1
1784906502.427938,engine_torque,166,166
1784906502.427938,shift_cut_active,off,0
1784906502.427938,shift_blip_active,off,0
1784906502.427962,gear_position,N,0
1784906502.427962,clutch,RELEASED,0
1784906502.427962,shift_failed,OK,0
1784906502.427993,coolant_temp,23.6,236
1784906502.427993,fuel_injection_setpoint,0,0
1784906502.427993,side_stand,DOWN,0
1784906502.428737,wheel_speed_rear,0.0,0
1784906502.428737,wheel_speed_front,0.0,0
1784906502.428737,rear_speed_band,0.0,0
1784906502.429953,rpm,0,0
1784906502.429953,throttle_position,0,0
1784906502.429988,kill_switch,RUN,1
1784906502.429988,time_bin_541_d3,0,0
1784906502.429988,engine_on_counter,0,0
1784906502.429988,engine_off_counter,18,18
1784906502.430097,wheel_speed_rear,0.0,0
1784906502.430097,wheel_speed_front,0.0,0
1784906502.430097,rear_speed_band,0.0,0
1784906502.430136,engine_torque,166,166
1784906502.430136,shift_cut_active,off,0
1784906502.430136,shift_blip_active,off,0
1784906502.430328,gear_position,N,0
1784906502.430328,clutch,RELEASED,0
1784906502.430328,shift_failed,OK,0
1784906502.432175,wheel_speed_rear,0.0,0
1784906502.432175,wheel_speed_front,0.0,0
1784906502.432175,rear_speed_band,0.0,0
1784906502.436738,rpm,0,0
1784906502.436738,throttle_position,0,0
1784906502.436757,kill_switch,RUN,1
1784906502.436757,time_bin_541_d3,0,0
1784906502.436757,engine_on_counter,0,0
1784906502.436757,engine_off_counter,18,18
1784906502.436784,wheel_speed_rear,0.0,0
1784906502.436784,wheel_speed_front,0.0,0
1784906502.436784,rear_speed_band,0.0,0
1784906502.436847,engine_torque,166,166
1784906502.436847,shift_cut_active,off,0
1784906502.436847,shift_blip_active,off,0
1784906502.436873,gear_position,N,0
1784906502.436873,clutch,RELEASED,0
1784906502.436873,shift_failed,OK,0
1784906502.436892,wheel_speed_rear,0.0,0
1784906502.436892,wheel_speed_front,0.0,0
1784906502.436892,rear_speed_band,0.0,0
1784906502.436929,signal_12a_d1_bit2,1,1
1784906502.436929,abs_lamp,LIT,1
1784906502.438277,rpm,0,0
1784906502.438277,throttle_position,0,0
1784906502.444406,kill_switch,RUN,1
1784906502.444406,time_bin_541_d3,0,0
1784906502.444406,engine_on_counter,0,0
1784906502.444406,engine_off_counter,18,18
1784906502.444475,wheel_speed_rear,0.0,0
1784906502.444475,wheel_speed_front,0.0,0
1784906502.444475,rear_speed_band,0.0,0
1784906502.444565,engine_torque,166,166
1784906502.444565,shift_cut_active,off,0
1784906502.444565,shift_blip_active,off,0
1784906502.444612,gear_position,N,0
