id,byte,ref_signal,session_window,r
121,0,coolant,idle-1/on,-0.5887
121,0,coolant,idle-2/on,-0.5410
121,0,coolant,idle-3/on,-0.3358
121,0,engine_on_count,idle-1/on,-0.3900
121,0,engine_on_count,idle-2/on,-0.3772
121,0,engine_on_count,idle-3/on,-0.2008
121,0,engine_on_count,rear-spin/on,-0.3486
121,0,rpm,idle-1/on,0.3753
121,0,rpm,idle-2/on,0.1361
121,0,rpm,idle-3/on,0.3734
121,0,rpm,rear-spin/on,0.0153
121,0,rpm_x_throttle,rear-spin/on,-0.0714
121,0,throttle,rear-spin/on,-0.0730
121,0,throttle,throttle/off,0.7960
121,0,wheel_rear,rear-spin/on,-0.2554
121,1,coolant,idle-1/on,-0.5810
121,1,coolant,idle-2/on,-0.5379
121,1,coolant,idle-3/on,-0.3312
121,1,engine_on_count,idle-1/on,-0.3884
121,1,engine_on_count,idle-2/on,-0.3748
121,1,engine_on_count,idle-3/on,-0.1986
121,1,engine_on_count,rear-spin/on,-0.3528
121,1,rpm,idle-1/on,0.3712
121,1,rpm,idle-2/on,0.1320
121,1,rpm,idle-3/on,0.3654
121,1,rpm,rear-spin/on,0.0308
121,1,rpm_x_throttle,rear-spin/on,-0.0533
121,1,throttle,rear-spin/on,-0.0524
121,1,throttle,throttle/off,0.7960
121,1,wheel_rear,rear-spin/on,-0.2430
121,2,coolant,idle-1/on,-0.6631
121,2,coolant,idle-2/on,-0.5637
121,2,coolant,idle-3/on,-0.3297
121,2,engine_on_count,idle-1/on,-0.3670
121,2,engine_on_count,idle-2/on,-0.3637
121,2,engine_on_count,idle-3/on,-0.1417
121,2,engine_on_count,rear-spin/on,-0.3595
121,2,rpm,idle-1/on,0.5674
121,2,rpm,idle-2/on,0.4175
121,2,rpm,idle-3/on,0.6626
121,2,rpm,rear-spin/on,-0.0820
121,2,rpm_x_throttle,rear-spin/on,-0.1565
121,2,throttle,rear-spin/on,-0.1847
121,2,wheel_rear,rear-spin/on,-0.3771
121,3,coolant,idle-1/on,-0.6597
121,3,coolant,idle-2/on,-0.5626
121,3,coolant,idle-3/on,-0.3286
121,3,engine_on_count,idle-1/on,-0.3667
121,3,engine_on_count,idle-2/on,-0.3626
121,3,engine_on_count,idle-3/on,-0.1409
121,3,engine_on_count,rear-spin/on,-0.3626
121,3,rpm,idle-1/on,0.5627
121,3,rpm,idle-2/on,0.4133
121,3,rpm,idle-3/on,0.6597
121,3,rpm,rear-spin/on,-0.0723
121,3,rpm_x_throttle,rear-spin/on,-0.1434
121,3,throttle,rear-spin/on,-0.1682
121,3,wheel_front,decay-mark/off,0.1024
121,3,wheel_rear,rear-spin/on,-0.3696
129,0,engine_on_count,rear-spin/on,0.2870
129,0,rpm,rear-spin/on,0.2658
129,0,rpm_x_throttle,rear-spin/on,0.2225
129,0,throttle,rear-spin/on,0.2515
129,0,wheel_rear,rear-spin/on,0.7556
12D,4,wheel_front,decay-mark/off,0.9985
12D,4,wheel_front,hand-spin/off,0.9978
541,5,wheel_front,decay-mark/off,0.3073
541,6,throttle,throttle/off,0.4026
541,6,wheel_front,decay-mark/off,-0.2621
541,6,wheel_front,hand-spin/off,0.5036
